lad_code,lad_name,total_hh,share_detached,share_semi,share_terraced,share_flats,share_flat_purpose,share_flat_converted,share_owned,share_rented_private,share_rented_social,share_65plus,epc_share_A,epc_share_B,epc_share_C,epc_share_D,epc_share_E,epc_share_F,epc_share_G,share_epc_d_or_worse,epc_certificates,epc_source
E09000021,Kingston upon Thames,131252,0.0631,0.1585,0.0861,0.1884,0.1488,0.0325,0.6085,0.2729,0.1104,,0.0016,0.1062,0.3692,0.3842,0.1197,0.0151,0.004,0.523,47355,real
E09000022,Lambeth,269376,0.0101,0.039,0.075,0.3662,0.2579,0.1029,0.3302,0.3143,0.3359,,0.0012,0.1271,0.447,0.3413,0.0745,0.0064,0.0025,0.4247,108962,real
E09000023,Lewisham,244786,0.015,0.0649,0.131,0.2833,0.1954,0.0815,0.4186,0.272,0.2921,,0.0012,0.1402,0.4201,0.3524,0.0762,0.0074,0.0025,0.4385,96416,real
E09000024,Merton,163456,0.0285,0.0949,0.1785,0.1942,0.1419,0.046,0.5563,0.2906,0.1419,,0.0038,0.0987,0.3932,0.3966,0.0947,0.0102,0.0029,0.5044,56488,real
E09000025,Newham,231018,0.0274,0.0517,0.1563,0.2601,0.2181,0.0351,0.308,0.3851,0.2804,,0.0008,0.2816,0.3422,0.3171,0.0532,0.0038,0.0013,0.3754,102395,real
E09000026,Redbridge,207426,0.0349,0.1348,0.1614,0.1658,0.1268,0.0327,0.571,0.3045,0.1129,,0.0019,0.0862,0.3469,0.4399,0.1111,0.0114,0.0026,0.565,69152,real
E09000027,Richmond upon Thames,161410,0.0414,0.1249,0.1328,0.1935,0.1408,0.0438,0.624,0.2474,0.1208,,0.0027,0.0621,0.3718,0.415,0.1307,0.0144,0.0032,0.5633,53196,real
E09000028,Southwark,261636,0.0091,0.0283,0.0717,0.3757,0.3221,0.048,0.2886,0.2867,0.3974,,0.0019,0.2355,0.4239,0.2696,0.0618,0.0057,0.0017,0.3388,94486,real
E09000029,Sutton,164696,0.0523,0.1397,0.1224,0.1826,0.1563,0.0196,0.6442,0.2026,0.1417,,0.0031,0.0982,0.3929,0.3727,0.1156,0.0143,0.0031,0.5057,56538,real
E09000030,Tower Hamlets,241084,0.0047,0.0114,0.0442,0.4214,0.4034,0.0114,0.2313,0.3816,0.3587,,0.0021,0.3633,0.4269,0.1726,0.0322,0.0022,0.0006,0.2076,110892,real
E09000031,Waltham Forest,205802,0.0206,0.0818,0.1733,0.2204,0.1533,0.0599,0.4894,0.2779,0.2148,,0.0013,0.128,0.3688,0.4027,0.0873,0.0091,0.0029,0.502,76896,real
E09000032,Wandsworth,274786,0.011,0.0351,0.1111,0.3359,0.2404,0.0883,0.4245,0.3627,0.1932,,0.0011,0.1941,0.4177,0.3102,0.0683,0.0063,0.0024,0.3872,108771,real
E09000033,Westminster,189628,0.0055,0.0091,0.0361,0.4418,0.3508,0.0807,0.2738,0.4331,0.2828,,0.0006,0.1398,0.486,0.2902,0.0755,0.006,0.0019,0.3736,91515,real
